code,name,gap_down_date,gap_down_prev_low,gap_down_high,gap_down_pct,gap_up_date,gap_up_prev_high,gap_up_low,gap_up_pct,island_days,island_max_high,volume_ratio,gap_up_volume,gap_up_close
000737,北方铜业,2026-05-15,15.19,15.04,0.99,2026-06-15,13.93,13.94,0.07,21,15.13,2.41,139370429,14.9
301656,联合动力,2026-06-10,16.83,16.71,0.71,2026-06-12,16.27,16.3,0.18,2,16.71,5.41,34691191,19.17
600711,盛屯矿业,2026-05-15,13.9,13.77,0.94,2026-06-12,11.94,12.01,0.59,20,13.77,3.93,302706918,13.0
688010,福光股份,2026-05-29,43.85,43.75,0.23,2026-06-12,39.88,41.0,2.81,10,43.75,3.25,23743301,47.84
002597,金禾实业,2026-06-03,20.77,20.75,0.1,2026-06-12,20.39,20.47,0.39,7,20.75,2.37,20485362,22.24
600029,南方航空,2026-06-11,5.05,5.04,0.2,2026-06-12,5.04,5.12,1.59,1,5.04,2.28,206179119,5.27
000737,北方铜业,2026-06-08,13.64,13.23,3.01,2026-06-12,12.81,12.94,1.01,4,13.23,2.21,107516026,13.93
000878,云南铜业,2026-06-08,17.28,16.6,3.94,2026-06-12,16.37,16.41,0.24,4,16.6,2.19,101768366,17.27
000422,湖北宜化,2026-06-03,13.74,13.72,0.15,2026-06-11,12.81,12.88,0.55,6,13.72,2.79,68120047,13.8
002490,山东墨龙,2026-05-14,9.55,9.49,0.63,2026-06-11,8.1,8.31,2.59,20,9.5,2.29,106210130,8.56
920271,邦德股份,2026-04-24,13.98,13.92,0.43,2026-06-10,11.44,12.26,7.17,30,13.92,15.57,14178554,14.79
001696,宗申动力,2026-04-27,18.65,18.29,1.93,2026-06-10,17.38,17.63,1.44,29,18.29,5.35,180835133,18.87
300674,宇信科技,2026-05-11,19.87,19.73,0.7,2026-06-10,15.85,16.16,1.96,22,19.73,2.71,227691,16.62
603002,宏昌电子,2026-06-08,16.67,15.83,5.04,2026-06-10,16.58,16.99,2.47,2,16.58,2.5,199590930,18.23
688041,海光信息,2026-06-08,272.79,267.38,1.98,2026-06-10,269.37,281.53,4.51,2,269.37,2.04,64683075,284.67
001696,宗申动力,2026-04-27,18.65,18.29,1.93,2026-06-09,15.8,15.85,0.32,28,18.29,2.98,69342502,17.38
300516,久之洋,2026-04-24,42.98,40.32,6.19,2026-06-04,39.54,41.54,5.06,26,42.09,5.15,263790,42.22
002965,祥鑫科技,2026-05-26,36.2,36.1,0.28,2026-06-04,35.31,35.37,0.17,7,36.1,2.52,17848792,36.47
001280,中国铀业,2026-05-15,80.51,80.05,0.57,2026-06-03,71.57,71.8,0.32,13,80.05,2.91,21375066,73.13
920580,科创新材,2026-05-18,16.38,15.82,3.42,2026-06-03,13.28,13.42,1.05,12,15.82,2.76,9697484,14.14
688597,煜邦电力,2026-04-27,9.73,9.3,4.42,2026-06-03,8.97,9.0,0.33,24,9.4,2.45,25992742,9.36
002637,赞宇科技,2026-05-20,12.56,12.55,0.08,2026-06-02,11.82,12.03,1.78,9,12.55,3.6,55757237,12.61
600797,浙大网新,2026-05-27,8.05,7.89,1.99,2026-06-02,7.73,8.01,3.62,4,7.89,3.18,104518788,8.21
000737,北方铜业,2026-05-15,15.19,15.04,0.99,2026-06-02,14.01,14.23,1.57,12,15.04,2.54,122828036,14.94
301035,润丰股份,2026-05-14,59.72,59.59,0.22,2026-06-01,52.99,53.29,0.57,12,59.59,2.62,2730144,54.59
002535,林州重机,2026-05-28,2.72,2.45,9.93,2026-05-29,2.45,2.49,1.63,1,2.45,7.28,91816388,2.58
920943,优机股份,2026-04-30,19.02,18.25,4.05,2026-05-29,14.76,14.79,0.2,18,18.25,2.33,1809323,14.97
000401,金隅冀东,2026-04-30,4.45,4.43,0.45,2026-05-29,3.9,3.91,0.26,18,4.43,2.15,19057775,3.99
603529,爱玛科技,2026-04-24,25.29,24.78,2.02,2026-05-29,20.88,20.92,0.19,22,24.78,2.01,13864379,21.55
002771,真视通,2026-04-24,16.01,15.82,1.19,2026-05-27,14.99,15.1,0.73,20,15.82,2.95,35071552,16.49
603103,横店影视,2026-04-24,22.4,22.21,0.85,2026-05-26,20.1,20.3,1.0,19,22.21,4.31,20320791,20.91
301050,雷电微力,2026-04-24,48.29,42.04,12.94,2026-05-26,38.43,39.58,2.99,19,43.12,3.27,17536205,40.89
000510,新金路,2026-05-15,14.95,14.9,0.33,2026-05-25,14.94,15.6,4.42,6,14.94,2.85,114929759,16.43
605259,绿田机械,2026-04-30,20.23,20.12,0.54,2026-05-25,18.33,18.83,2.73,14,20.12,2.77,4298092,19.4
688330,宏力达,2026-04-30,44.06,42.38,3.81,2026-05-25,39.86,40.36,1.25,14,42.38,2.39,4188956,40.52
000630,铜陵有色,2026-05-15,6.64,6.59,0.75,2026-05-25,6.31,6.4,1.43,6,6.59,2.23,686901301,6.69
601717,中创智领,2026-04-30,18.71,18.09,3.31,2026-05-25,17.9,17.98,0.45,14,18.09,2.13,49292507,18.53
002703,浙江世宝,2026-04-27,20.62,20.25,1.79,2026-05-22,19.92,20.38,2.31,16,20.25,2.72,137703817,21.29
603232,格尔软件,2026-04-17,20.58,20.5,0.39,2026-05-22,19.44,19.99,2.83,22,20.5,2.49,15888300,20.04
000050,深天马Ａ,2026-04-30,8.07,7.88,2.35,2026-05-21,7.5,7.56,0.8,12,7.95,3.66,96154164,7.6
000728,国元证券,2026-04-21,7.75,7.45,3.87,2026-05-21,7.0,7.15,2.14,19,7.45,3.46,137993842,7.2
300940,南极光,2026-04-29,22.1,21.06,4.71,2026-05-21,20.0,20.13,0.65,13,21.96,2.02,148154,20.46
002246,北化股份,2026-04-24,25.66,25.62,0.16,2026-05-20,24.68,24.89,0.85,15,25.62,2.68,61784370,24.91
600850,电科数字,2026-04-07,18.2,16.4,9.89,2026-05-19,16.92,17.37,2.66,27,17.45,3.5,489757,18.63
600339,中油工程,2026-05-06,4.0,3.99,0.25,2026-05-18,3.85,3.89,1.04,8,3.99,2.91,218114418,4.19
301008,宏昌科技,2026-04-20,36.78,35.46,3.59,2026-05-18,32.14,32.24,0.31,17,35.46,2.32,13459983,32.24
920088,科力股份,2026-05-06,47.64,46.55,2.29,2026-05-18,43.02,43.43,0.95,8,46.55,2.3,8644037,45.72
603363,傲农生物,2026-04-24,3.63,3.47,4.41,2026-05-18,3.5,3.51,0.29,13,3.55,2.14,126017800,3.51
920429,康比特,2026-04-27,12.89,12.77,0.93,2026-05-14,12.24,12.66,3.43,10,12.77,8.62,7580100,13.42
920469,富恒新材,2026-04-30,8.41,7.4,12.01,2026-05-14,8.17,8.6,5.26,7,8.17,3.57,26661084,9.19
920670,数字人,2026-04-27,16.7,15.92,4.67,2026-05-13,15.39,15.4,0.06,9,15.92,3.74,8872057,17.06
001207,联科科技,2026-04-13,21.01,20.96,0.24,2026-05-12,19.84,19.88,0.2,18,20.96,2.91,23527799,20.14
300546,雄帝科技,2026-04-22,21.4,21.26,0.65,2026-05-11,20.39,20.44,0.25,10,21.26,7.98,219046,22.81
601609,金田股份,2026-04-24,10.49,10.45,0.38,2026-05-11,10.35,10.39,0.39,8,10.45,4.9,107031329,11.29
603881,数据港,2026-04-20,33.87,33.48,1.15,2026-05-11,33.72,34.09,1.1,12,33.72,2.94,139402511,35.22
601965,中国汽研,2026-04-23,17.03,16.72,1.82,2026-05-11,15.72,15.73,0.06,9,16.72,2.6,21311468,16.31
601868,中国能建,2026-03-27,3.17,3.14,0.95,2026-05-08,3.12,3.15,0.96,26,3.14,3.86,2325353687,3.22
920180,爱得科技,2026-04-28,15.35,15.1,1.63,2026-05-08,15.07,15.2,0.86,5,15.1,2.8,5523128,16.11
002453,华软科技,2026-03-23,5.64,5.52,2.13,2026-05-06,5.61,5.66,0.89,28,5.61,3.48,71250818,6.17
300170,汉得信息,2026-04-28,20.48,20.41,0.34,2026-05-06,20.14,20.21,0.35,3,20.41,3.0,139775615,22.33
002698,博实股份,2026-04-28,13.33,12.93,3.0,2026-05-06,12.65,12.66,0.08,3,12.93,2.46,23075692,13.51
300456,赛微电子,2026-04-23,55.23,54.63,1.09,2026-05-06,46.66,47.38,1.54,6,54.63,2.35,1118258,52.04
688027,国盾量子,2026-04-21,586.98,583.49,0.59,2026-05-06,572.49,574.99,0.44,8,583.85,2.12,3697266,593.78
300520,科大国创,2026-04-17,37.98,37.79,0.5,2026-05-06,34.92,35.93,2.89,10,37.79,2.1,223528,36.85
603195,公牛集团,2026-03-23,40.55,40.28,0.67,2026-04-30,39.51,41.37,4.71,27,40.4,13.82,22235773,42.81
601066,中信建投,2026-03-23,22.58,22.22,1.59,2026-04-30,22.12,22.67,2.49,27,22.42,4.34,43118652,23.0
600020,中原高速,2026-03-23,3.95,3.94,0.25,2026-04-30,3.72,3.77,1.34,27,3.94,3.69,53768274,3.91
600688,上海石化,2026-03-20,3.09,3.06,0.97,2026-04-30,2.92,3.01,3.08,28,3.06,3.64,182669261,3.11
600714,金瑞矿业,2026-03-20,21.1,21.0,0.47,2026-04-30,20.09,20.6,2.54,28,21.0,3.11,47441201,22.1
600288,大恒科技,2026-04-22,15.48,15.45,0.19,2026-04-30,14.8,15.11,2.09,6,15.45,2.8,20118643,15.18
688339,亿华通,2026-03-18,31.0,30.8,0.65,2026-04-30,24.28,24.61,1.36,30,30.8,2.74,12889363,26.15
300094,国联水产,2026-04-22,3.15,3.13,0.63,2026-04-30,3.06,3.11,1.63,6,3.13,2.68,77748758,3.17
920080,奥美森,2026-03-23,24.27,24.1,0.7,2026-04-30,23.44,23.59,0.64,27,24.1,2.48,1348769,24.13
002277,友阿股份,2026-03-23,6.36,6.21,2.36,2026-04-30,5.88,5.97,1.53,27,6.29,2.32,48205289,6.17
601377,兴业证券,2026-03-23,6.17,6.11,0.97,2026-04-30,5.86,5.9,0.68,27,6.11,2.3,137072596,5.97
601827,三峰环境,2026-03-31,8.64,8.52,1.39,2026-04-30,7.82,7.88,0.77,21,8.52,2.29,16000885,7.96
300999,金龙鱼,2026-03-23,29.54,29.27,0.91,2026-04-30,27.85,28.17,1.15,27,29.27,2.24,19551714,28.29
600085,同仁堂,2026-03-23,29.01,28.94,0.24,2026-04-30,26.86,26.89,0.11,27,28.94,2.17,9088782,27.17
600155,华创云信,2026-03-23,6.53,6.49,0.61,2026-04-30,6.21,6.27,0.97,27,6.49,2.16,44821337,6.27
000880,潍柴重机,2026-04-28,30.08,29.99,0.3,2026-04-30,28.88,30.05,4.05,2,29.99,2.03,42001211,30.9
