date,close
2026-07-27,11186.05
2026-07-28,10907.282
2026-07-29,11004.365
2026-07-30,10536.302
2026-07-31,10903.572
2026-08-03,10943.843
2026-08-04,11332.725
2026-08-05,11764.732
2026-08-06,11885.208
2026-08-07,12084.97
2026-08-10,12131.704
2026-08-11,12139.794
2026-08-12,12321.663
2026-08-13,12173.356
2026-08-14,12268.033
2026-08-17,12617.174
2026-08-18,12603.745
2026-08-19,11804.357
2026-08-20,12051.821
2026-08-21,12205.707
2026-08-24,11939.056
2026-08-25,12213.265
2026-08-26,12194.97
2026-08-27,12474.135
2026-08-28,12408.325
2026-08-31,12752.17
2026-09-01,12694.015
2026-09-02,12754.118
2026-09-03,12736.768
