date,close
2026-07-08,1801.753
2026-07-09,1798.5
2026-07-10,1825.224
2026-07-13,1774.518
2026-07-14,1804.94
2026-07-15,1825.241
2026-07-16,1806.757
2026-07-17,1829.395
2026-07-20,1917.174
2026-07-21,1892.579
2026-07-22,1935.139
2026-07-23,1968.739
2026-07-24,1871.842
2026-07-27,1915.29
2026-07-28,1900.862
2026-07-29,1929.267
2026-07-30,1901.541
2026-07-31,1925.254
2026-08-03,1969.233
2026-08-04,1973.085
2026-08-05,1975.526
2026-08-06,1956.502
2026-08-07,1959.988
2026-08-10,1987.517
2026-08-11,1985.951
2026-08-12,1985.204
2026-08-13,1990.077
2026-08-14,1937.423
