date,close
2026-07-10,1382.099
2026-07-13,1319.666
2026-07-14,1320.672
2026-07-15,1316.282
2026-07-16,1314.408
2026-07-17,1239.04
2026-07-20,1224.712
2026-07-21,1254.581
2026-07-22,1251.619
2026-07-23,1271.116
2026-07-24,1222.248
2026-07-27,1265.885
2026-07-28,1254.075
2026-07-29,1260.853
2026-07-30,1225.445
2026-07-31,1289.307
2026-08-03,1309.813
2026-08-04,1370.457
2026-08-05,1402.291
2026-08-06,1399.642
2026-08-07,1395.84
2026-08-10,1399.434
2026-08-11,1398.381
2026-08-12,1420.013
2026-08-13,1414.596
2026-08-14,1424.324
2026-08-17,1436.151
2026-08-18,1412.415
