date,close
2026-07-27,16084.296
2026-07-28,15118.52
2026-07-29,14993.861
2026-07-30,13932.088
2026-07-31,14521.575
2026-08-03,14019.054
2026-08-04,14862.362
2026-08-05,15699.808
2026-08-06,16035.108
2026-08-07,16575.531
2026-08-10,16626.342
2026-08-11,16549.004
2026-08-12,16885.385
2026-08-13,16562.865
2026-08-14,16871.327
2026-08-17,17689.964
2026-08-18,17729.854
2026-08-19,16410.3
2026-08-20,16487.415
2026-08-21,16547.975
2026-08-24,16201.097
2026-08-25,16137.907
2026-08-26,16117.885
2026-08-27,16943.927
2026-08-28,16670.254
2026-08-31,17063.632
2026-09-01,16613.152
2026-09-02,16390.583
