date,code,name,call_vol,put_vol,pcr_vol
2024-01-25,510500,中证500ETF,686854.0,591391.0,86.1
2024-01-25,588000,科创50ETF,394473.0,262129.0,66.45
2024-01-25,588080,科创板50ETF,147864.0,118491.0,80.14
2024-01-26,510050,上证50ETF,867258.0,806172.0,92.96
2024-01-26,510300,沪深300ETF,702848.0,638928.0,90.91
2024-01-26,510500,中证500ETF,432422.0,469257.0,108.52
2024-01-26,588000,科创50ETF,285977.0,225359.0,78.8
2024-01-26,588080,科创板50ETF,111272.0,71431.0,64.19
2024-01-29,510050,上证50ETF,782134.0,777062.0,99.35
2024-01-29,510300,沪深300ETF,588270.0,624979.0,106.24
2024-01-29,510500,中证500ETF,402189.0,546172.0,135.8
2024-01-29,588000,科创50ETF,310403.0,272673.0,87.84
2024-01-29,588080,科创板50ETF,140385.0,114540.0,81.59
2024-01-30,510050,上证50ETF,858979.0,953724.0,111.03
2024-01-30,510300,沪深300ETF,728503.0,816658.0,112.1
2024-01-30,510500,中证500ETF,437700.0,537577.0,122.82
2024-01-30,588000,科创50ETF,414261.0,411794.0,99.4
2024-01-30,588080,科创板50ETF,182077.0,187026.0,102.72
2024-01-31,510050,上证50ETF,958313.0,1180093.0,123.14
2024-01-31,510300,沪深300ETF,768198.0,983318.0,128.0
2024-01-31,510500,中证500ETF,549951.0,782439.0,142.27
2024-01-31,588000,科创50ETF,499215.0,640485.0,128.3
2024-01-31,588080,科创板50ETF,247805.0,416850.0,168.22
2024-02-01,510050,上证50ETF,675560.0,802319.0,118.76
2024-02-01,510300,沪深300ETF,605529.0,663102.0,109.51
2024-02-01,510500,中证500ETF,517729.0,615043.0,118.8
2024-02-01,588000,科创50ETF,435722.0,356897.0,81.91
2024-02-01,588080,科创板50ETF,211734.0,214045.0,101.09
2024-02-02,510050,上证50ETF,1185169.0,1267557.0,106.95
2024-02-02,510300,沪深300ETF,976460.0,1117273.0,114.42
2024-02-02,510500,中证500ETF,790771.0,697695.0,88.23
2024-02-02,588000,科创50ETF,459018.0,435181.0,94.81
2024-02-02,588080,科创板50ETF,223198.0,229264.0,102.72
2024-02-05,510050,上证50ETF,953449.0,1059029.0,111.07
2024-02-05,510300,沪深300ETF,980824.0,1107088.0,112.87
2024-02-05,510500,中证500ETF,966018.0,827805.0,85.69
2024-02-05,588000,科创50ETF,518590.0,460216.0,88.74
2024-02-05,588080,科创板50ETF,211725.0,206992.0,97.76
2024-02-06,510050,上证50ETF,988050.0,896191.0,90.7
2024-02-06,510300,沪深300ETF,984610.0,817273.0,83.0
2024-02-06,510500,中证500ETF,976238.0,819423.0,83.94
2024-02-06,588000,科创50ETF,503370.0,311126.0,61.81
2024-02-06,588080,科创板50ETF,193916.0,141711.0,73.08
2024-02-07,510050,上证50ETF,1026369.0,853809.0,83.19
2024-02-07,510300,沪深300ETF,867920.0,732067.0,84.35
2024-02-07,510500,中证500ETF,1198611.0,859922.0,71.74
2024-02-07,588000,科创50ETF,495687.0,238314.0,48.08
2024-02-07,588080,科创板50ETF,194571.0,96921.0,49.81
2024-02-08,510050,上证50ETF,846213.0,666972.0,78.82
2024-02-08,510300,沪深300ETF,763494.0,585883.0,76.74
2024-02-08,510500,中证500ETF,1219167.0,840062.0,68.9
2024-02-08,588000,科创50ETF,584744.0,293233.0,50.15
2024-02-08,588080,科创板50ETF,265200.0,151724.0,57.21
2024-02-19,510050,上证50ETF,730052.0,682118.0,93.43
2024-02-19,510300,沪深300ETF,609788.0,566983.0,92.98
2024-02-19,510500,中证500ETF,604909.0,666489.0,110.18
2024-02-19,588000,科创50ETF,405427.0,228373.0,56.33
2024-02-19,588080,科创板50ETF,184580.0,115521.0,62.59
2024-02-20,510050,上证50ETF,523837.0,554827.0,105.92
2024-02-20,510300,沪深300ETF,517696.0,512263.0,98.95
2024-02-20,510500,中证500ETF,489552.0,667715.0,136.39
2024-02-20,588000,科创50ETF,285001.0,200683.0,70.41
2024-02-20,588080,科创板50ETF,152751.0,100406.0,65.73
2024-02-21,510050,上证50ETF,1909902.0,1386506.0,72.6
2024-02-21,510300,沪深300ETF,1316175.0,1040214.0,79.03
2024-02-21,510500,中证500ETF,876984.0,764633.0,87.19
2024-02-21,588000,科创50ETF,518168.0,324144.0,62.56
2024-02-21,588080,科创板50ETF,233583.0,134744.0,57.69
2024-02-22,510050,上证50ETF,937922.0,690060.0,73.57
2024-02-22,510300,沪深300ETF,569403.0,474731.0,83.37
2024-02-22,510500,中证500ETF,536768.0,524266.0,97.67
2024-02-22,588000,科创50ETF,329975.0,183357.0,55.57
2024-02-22,588080,科创板50ETF,126020.0,74178.0,58.86
2024-02-23,510050,上证50ETF,967460.0,669668.0,69.22
2024-02-23,510300,沪深300ETF,632253.0,509862.0,80.64
2024-02-23,510500,中证500ETF,509178.0,521367.0,102.39
2024-02-23,588000,科创50ETF,261273.0,157683.0,60.35
2024-02-23,588080,科创板50ETF,107468.0,61615.0,57.33
2024-02-26,510050,上证50ETF,1068625.0,931901.0,87.21
2024-02-26,510300,沪深300ETF,601120.0,542523.0,90.25
2024-02-26,510500,中证500ETF,621289.0,551426.0,88.76
2024-02-26,588000,科创50ETF,339311.0,217213.0,64.02
2024-02-26,588080,科创板50ETF,136411.0,82269.0,60.31
2024-02-27,510050,上证50ETF,888372.0,746784.0,84.06
2024-02-27,510300,沪深300ETF,617812.0,535068.0,86.61
2024-02-27,510500,中证500ETF,685707.0,560325.0,81.71
2024-02-27,588000,科创50ETF,584288.0,272635.0,46.66
2024-02-27,588080,科创板50ETF,251879.0,117479.0,46.64
2024-02-28,510050,上证50ETF,1150657.0,893947.0,77.69
2024-02-28,510300,沪深300ETF,849108.0,711675.0,83.81
2024-02-28,510500,中证500ETF,815989.0,716135.0,87.76
2024-02-28,588000,科创50ETF,619965.0,356389.0,57.49
2024-02-28,588080,科创板50ETF,290132.0,155870.0,53.72
2024-02-29,510050,上证50ETF,707368.0,567092.0,80.17
2024-02-29,510300,沪深300ETF,625582.0,548993.0,87.76
2024-02-29,510500,中证500ETF,651303.0,575925.0,88.43
2024-02-29,588000,科创50ETF,524228.0,345954.0,65.99
2024-02-29,588080,科创板50ETF,198999.0,118995.0,59.8
2024-03-01,510050,上证50ETF,542339.0,487406.0,89.87
2024-03-01,510300,沪深300ETF,625775.0,508823.0,81.31
2024-03-01,510500,中证500ETF,539870.0,425006.0,78.72
2024-03-01,588000,科创50ETF,532895.0,281129.0,52.76
2024-03-01,588080,科创板50ETF,204613.0,97449.0,47.63
2024-03-04,510050,上证50ETF,410333.0,346924.0,84.55
2024-03-04,510300,沪深300ETF,444622.0,358136.0,80.55
2024-03-04,510500,中证500ETF,367652.0,383356.0,104.27
2024-03-04,588000,科创50ETF,302575.0,206478.0,68.24
2024-03-04,588080,科创板50ETF,118537.0,71981.0,60.72
2024-03-05,510050,上证50ETF,690284.0,612204.0,88.69
2024-03-05,510300,沪深300ETF,562113.0,518773.0,92.29
2024-03-05,510500,中证500ETF,383828.0,433540.0,112.95
2024-03-05,588000,科创50ETF,311077.0,195059.0,62.7
2024-03-05,588080,科创板50ETF,125044.0,67215.0,53.75
2024-03-06,510050,上证50ETF,526940.0,480414.0,91.17
2024-03-06,510300,沪深300ETF,490117.0,431281.0,88.0
2024-03-06,510500,中证500ETF,404783.0,423063.0,104.52
2024-03-06,588000,科创50ETF,240788.0,229811.0,95.44
2024-03-06,588080,科创板50ETF,116112.0,82866.0,71.37
2024-03-07,510050,上证50ETF,584214.0,540691.0,92.55
2024-03-07,510300,沪深300ETF,507100.0,511286.0,100.83
2024-03-07,510500,中证500ETF,414608.0,459170.0,110.75
2024-03-07,588000,科创50ETF,323184.0,251691.0,77.88
2024-03-07,588080,科创板50ETF,111977.0,97013.0,86.64
2024-03-08,510050,上证50ETF,450033.0,449584.0,99.9
2024-03-08,510300,沪深300ETF,447408.0,486671.0,108.78
2024-03-08,510500,中证500ETF,418340.0,464670.0,111.07
2024-03-08,588000,科创50ETF,232813.0,203850.0,87.56
2024-03-08,588080,科创板50ETF,80650.0,72557.0,89.97
2024-03-11,510050,上证50ETF,608225.0,547913.0,90.08
2024-03-11,510300,沪深300ETF,572449.0,519321.0,90.72
2024-03-11,510500,中证500ETF,458884.0,503685.0,109.76
2024-03-11,588000,科创50ETF,350438.0,252048.0,71.92
2024-03-11,588080,科创板50ETF,119753.0,104032.0,86.87
2024-03-12,510050,上证50ETF,822167.0,674260.0,82.01
2024-03-12,510300,沪深300ETF,654440.0,537336.0,82.11
2024-03-12,510500,中证500ETF,494572.0,539638.0,109.11
2024-03-12,588000,科创50ETF,342372.0,243468.0,71.11
2024-03-12,588080,科创板50ETF,168084.0,93452.0,55.6
2024-03-13,510050,上证50ETF,650932.0,676574.0,103.94
2024-03-13,510300,沪深300ETF,475610.0,442926.0,93.13
2024-03-13,510500,中证500ETF,400131.0,436857.0,109.18
2024-03-13,588000,科创50ETF,292053.0,202787.0,69.43
2024-03-13,588080,科创板50ETF,208073.0,126935.0,61.01
2024-03-14,510050,上证50ETF,727928.0,701485.0,96.37
2024-03-14,510300,沪深300ETF,579966.0,605432.0,104.39
2024-03-14,510500,中证500ETF,461809.0,592124.0,128.22
2024-03-14,588000,科创50ETF,434882.0,349976.0,80.48
2024-03-14,588080,科创板50ETF,289762.0,206569.0,71.29
2024-03-15,510050,上证50ETF,631305.0,631474.0,100.03
2024-03-15,510300,沪深300ETF,590144.0,658364.0,111.56
2024-03-15,510500,中证500ETF,489687.0,531804.0,108.6
2024-03-15,588000,科创50ETF,274904.0,248572.0,90.42
2024-03-15,588080,科创板50ETF,245957.0,195526.0,79.5
2024-03-18,510050,上证50ETF,627508.0,561961.0,89.55
2024-03-18,510300,沪深300ETF,654270.0,589309.0,90.07
2024-03-18,510500,中证500ETF,550175.0,503004.0,91.43
2024-03-18,588000,科创50ETF,339192.0,231116.0,68.14
2024-03-18,588080,科创板50ETF,298352.0,181268.0,60.76
2024-03-19,510050,上证50ETF,651095.0,592811.0,91.05
2024-03-19,510300,沪深300ETF,558481.0,527423.0,94.44
2024-03-19,510500,中证500ETF,496066.0,479486.0,96.66
2024-03-19,588000,科创50ETF,355334.0,225521.0,63.47
2024-03-19,588080,科创板50ETF,391558.0,213112.0,54.43
2024-03-20,510050,上证50ETF,723543.0,631395.0,87.26
2024-03-20,510300,沪深300ETF,599122.0,481622.0,80.39
2024-03-20,510500,中证500ETF,462314.0,451606.0,97.68
