date,close
2026-07-06,2405.838
2026-07-07,2345.878
2026-07-08,2346.758
2026-07-09,2366.441
2026-07-10,2435.327
2026-07-13,2340.692
2026-07-14,2357.155
2026-07-15,2412.148
2026-07-16,2462.82
2026-07-17,2370.783
2026-07-20,2360.38
2026-07-21,2370.078
2026-07-22,2330.376
2026-07-23,2358.695
2026-07-24,2280.97
2026-07-27,2358.551
2026-07-28,2388.273
2026-07-29,2430.245
2026-07-30,2427.997
2026-07-31,2556.137
2026-08-03,2580.025
2026-08-04,2647.421
2026-08-05,2661.085
2026-08-06,2632.959
2026-08-07,2615.702
2026-08-10,2645.067
2026-08-11,2626.647
2026-08-12,2665.352
2026-08-13,2648.422
