date,close
2026-07-06,1504.742
2026-07-07,1466.576
2026-07-08,1452.354
2026-07-09,1479.439
2026-07-10,1451.963
2026-07-13,1439.498
2026-07-14,1453.376
2026-07-15,1487.907
2026-07-16,1468.153
2026-07-17,1451.334
2026-07-20,1475.703
2026-07-21,1479.573
2026-07-22,1465.665
2026-07-23,1485.187
2026-07-24,1443.319
2026-07-27,1453.533
2026-07-28,1428.874
2026-07-29,1461.8
2026-07-30,1467.017
2026-07-31,1470.693
2026-08-03,1474.056
2026-08-04,1474.64
2026-08-05,1482.694
2026-08-06,1464.129
2026-08-07,1461.59
2026-08-10,1465.875
2026-08-11,1457.687
2026-08-12,1467.536
2026-08-13,1471.937
