date,close
2026-07-06,3611.487
2026-07-07,3507.204
2026-07-08,3572.529
2026-07-09,3620.152
2026-07-10,3683.254
2026-07-13,3514.216
2026-07-14,3495.646
2026-07-15,3505.915
2026-07-16,3525.22
2026-07-17,3346.106
2026-07-20,3326.503
2026-07-21,3402.78
2026-07-22,3381.423
2026-07-23,3396.372
2026-07-24,3265.621
2026-07-27,3372.506
2026-07-28,3385.346
2026-07-29,3404.146
2026-07-30,3347.974
2026-07-31,3539.448
2026-08-03,3594.717
2026-08-04,3725.212
2026-08-05,3799.262
2026-08-06,3806.091
2026-08-07,3761.882
2026-08-10,3772.319
2026-08-11,3769.505
2026-08-12,3810.082
2026-08-13,3761.267
